,FULL-TIME,,PART-TIME,
,Men (full-time),Women (full-time),Men (part-time),Women (part-time)
Undergraduates,,,,
"Degree-seeking, first-time
freshmen",166,278,0,0
"Other first-year, degree-seeking",11,13,0,0
All other degree-seeking,477,819,,2
Total degree-seeking,654,1110,0,2
"All other undergraduates enrolled
in credit courses",,2,21,28
Total undergraduates,654,1112,21,30
Graduate,,,,
"Degree-seeking, first-time",,,,
All other degree-seeking,,,,
"All other graduates enrolled in
credit courses",,,,
Total graduate,0,0,0,0
